Prices (USD/bbl),Date (CDT),Time (CDT)
72.8,2021-07-29,12:35:01
72.8,2021-07-29,12:40:01
72.79,2021-07-29,12:46:00
72.79,2021-07-29,12:50:01
72.78,2021-07-29,12:56:00
72.77,2021-07-29,13:00:02
72.72,2021-07-29,13:05:01
72.73,2021-07-29,13:10:57
72.72,2021-07-29,13:16:01
72.73,2021-07-29,13:20:55
72.73,2021-07-29,13:25:02
72.76,2021-07-29,13:30:59
72.78,2021-07-29,13:35:54
72.78,2021-07-29,13:40:01
72.76,2021-07-29,13:45:01
72.81,2021-07-29,13:50:57
72.85,2021-07-29,13:56:01
72.84,2021-07-29,14:00:01
73.04,2021-07-29,14:05:01
73.03,2021-07-29,14:10:01
73.06,2021-07-29,14:15:01
73.09,2021-07-29,14:21:01
73.08,2021-07-29,14:26:01
73.03,2021-07-29,14:30:01
73.04,2021-07-29,14:35:56
73.03,2021-07-29,14:40:59
72.99,2021-07-29,14:46:01
72.98,2021-07-29,14:51:01
72.97,2021-07-29,14:56:00
73.01,2021-07-29,15:00:01
73.2,2021-07-29,15:05:01
73.24,2021-07-29,15:10:01
73.21,2021-07-29,15:15:59
73.25,2021-07-29,15:21:00
73.21,2021-07-29,15:26:00
73.26,2021-07-29,15:30:01
73.17,2021-07-29,15:35:01
73.17,2021-07-29,15:41:00
73.17,2021-07-29,15:46:01
73.13,2021-07-29,15:50:01
73.1,2021-07-29,15:55:01
73.11,2021-07-29,16:01:00
72.94,2021-07-29,16:05:01
72.87,2021-07-29,16:10:59
72.81,2021-07-29,16:16:00
72.84,2021-07-29,16:20:59
72.93,2021-07-29,16:26:00
72.9,2021-07-29,16:31:01
72.91,2021-07-29,16:35:01
72.92,2021-07-29,16:40:01
72.94,2021-07-29,16:46:00
72.85,2021-07-29,16:51:01
72.83,2021-07-29,16:55:01
72.83,2021-07-29,17:00:01
72.8,2021-07-29,17:06:01
72.81,2021-07-29,17:11:01
72.78,2021-07-29,17:15:01
72.82,2021-07-29,17:20:01
72.81,2021-07-29,17:26:00
72.64,2021-07-29,17:31:01
